WARNING: kafka-python not installed. Using mock KafkaProducer.
WARNING: kafka-python not installed. Using mock KafkaConsumer.
Starting Network Anomaly Detection System
Starting traffic simulator
Mock KafkaProducer initialized with {'bootstrap_servers': 'localhost:9092', 'value_serializer': <function KafkaNetworkProducer.__init__.<locals>.<lambda> at 0x14a587100>}
Connected to Kafka at localhost:9092
Starting Kafka consumer for topic 'network_traffic'
Mock KafkaConsumer initialized with topics ('network_traffic',) and {'bootstrap_servers': 'localhost:9092', 'auto_offset_reset': 'latest', 'value_deserializer': <function NetworkAnomalyDetectionSystem.consume_traffic.<locals>.<lambda> at 0x14a587380>, 'group_id': 'network_anomaly_detector'}
Producing 10 packets per second to topic 'network_traffic'
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:52.740457', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 660, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.109136', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1050, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.121637', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.2', 'src_port': 8024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1300, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.134139', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1305, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.146539', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1423, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.157035', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 8024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1437, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.167883', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.1', 'src_port': 2024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1465, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.178539', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1025, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.190676', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1282, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.203175', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1401, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.215676', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1124, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.228173', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1258, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.240679', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.5', 'src_port': 6024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1330, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.251885', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1496, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.264387', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.3', 'src_port': 2024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1494, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.276684', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.5', 'src_port': 8024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1152, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.286870', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1034, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.299374', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.5', 'src_port': 9024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1474, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.309519', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.2', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1053, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.320947', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 4024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1003, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.333444', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.4', 'src_port': 8024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1239, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.344264', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 1024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1418, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.356337', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1290, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.368842', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1495, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.381024', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.1', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1459, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.391861', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1163, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.404362', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.5', 'src_port': 2024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 967, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.416867', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1205, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.427169', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.2', 'src_port': 4024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1389, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.439663', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 3024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1046, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.452164', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 4024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1307, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.462772', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1169, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.475338', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.2', 'src_port': 2024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1317, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.487839', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.3', 'src_port': 1024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1197, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.498016', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.2', 'src_port': 3024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1460, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.509168', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.2', 'src_port': 2024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1207, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.521672', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 9024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1500, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.534177', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1084, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.546532', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1313, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.559032', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1248, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.570742', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.4', 'src_port': 6024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1178, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.583238', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 5024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1492, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.595737', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.1', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 716, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.608238', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.2', 'src_port': 1024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1370, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.620750', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1314, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.631492', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 7024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1201, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.643995', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1378, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.654257', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 6024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1325, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.666761', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 4024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1489, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.679267', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.1', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1473, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.691764', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 701, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.704266', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1395, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.716798', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.4', 'src_port': 8024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 299, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.727886', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.3', 'src_port': 2024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1194, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.740387', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1205, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.752897', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.2', 'src_port': 4024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1443, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.765401', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.4', 'src_port': 5024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1161, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.777912', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1351, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.790394', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1431, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.802891', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1262, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.815394', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.3', 'src_port': 3024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1273, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.827572', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1162, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.840070', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 4024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1179, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.850507', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 9024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1369, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.863022', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 2024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1458, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.875528', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.4', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1139, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.888027', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 3024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1331, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.898528', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 932, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.911025', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1159, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.921399', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 9024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1086, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.931538', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1391, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.944052', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 4024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1498, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.956542', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 4024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1202, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.967943', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1166, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.978545', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.4', 'src_port': 6024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1138, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:24.991068', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 4024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 477, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.002090', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.2', 'src_port': 7024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1363, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.014581', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1344, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.027102', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.5', 'src_port': 4024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 294, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.039040', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1263, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.051532', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 7024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1293, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.063868', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.3', 'src_port': 8024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1178, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.074556', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.2', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 865, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.085205', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 2024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1144, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.097580', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1258, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.110075', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1226, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.122582', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.2', 'src_port': 4024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1033, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.135088', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.1', 'src_port': 7024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1388, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.147589', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1061, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.159880', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1371, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.170474', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1131, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.181919', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1055, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.193802', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 380, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.206302', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.3', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1445, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.218509', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.1', 'src_port': 8024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1224, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.229691', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.3', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1441, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.241591', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 7024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1351, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.254095', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.2', 'src_port': 8024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1146, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.266599', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.2', 'src_port': 3024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 275, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.277206', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 4024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1333, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.289701', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.1', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1234, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.302205', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.4', 'src_port': 5024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1446, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.314091', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1494, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.326567', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1066, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.339066', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 6024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1101, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.351564', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1159, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.362555', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 8024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1467, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.375050', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.4', 'src_port': 2024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1474, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.385892', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.1', 'src_port': 9024, 'dst_port': 80, 'protocol': 'ICMP', 'packet_size': 1486, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.398394', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.5', 'src_port': 3024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1110, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.410540', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1313, 'is_attack': True}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:25.421779', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.1', 'src_port': 2024, 'dst_port': 80, 'protocol': 'UDP', 'packet_size': 1020, 'is_attack': True}
